IN_BYTES,@timestamp
2090,2017-07-01T09:20:03.155Z
320,2017-07-01T09:20:03.190Z
72976,2017-07-01T09:20:03.392Z
6820,2017-07-01T09:20:03.415Z
8285,2017-07-01T09:20:03.473Z
9539,2017-07-01T09:20:03.475Z
4624,2017-07-01T09:20:03.606Z
54986,2017-07-01T09:20:03.895Z
530,2017-07-01T09:21:32.980Z
116,2017-07-01T09:21:33.054Z
40,2017-07-01T09:21:33.140Z
2602,2017-07-01T09:21:12.133Z
4342,2017-07-01T09:21:04.273Z
2470,2017-07-01T09:21:12.115Z
44,2017-07-01T09:21:33.180Z
72,2017-07-01T09:21:33.250Z
116,2017-07-01T09:21:33.116Z
12410,2017-07-01T09:21:32.793Z
72,2017-07-01T09:21:33.281Z
120,2017-07-01T09:21:26.469Z
72,2017-07-01T09:21:33.308Z
71,2017-07-01T09:21:33.343Z
840,2017-07-01T09:21:25.698Z
142,2017-07-01T09:21:04.456Z
44,2017-07-01T09:21:33.410Z
1035,2017-07-01T09:21:33.397Z
1367,2017-07-01T09:21:33.434Z
44,2017-07-01T09:21:33.439Z
76,2017-07-01T09:21:33.456Z
72,2017-07-01T09:21:33.509Z
2027,2017-07-01T09:21:33.483Z
112,2017-07-01T09:21:33.577Z
44,2017-07-01T09:21:33.582Z
44,2017-07-01T09:21:33.610Z
44,2017-07-01T09:21:33.668Z
72,2017-07-01T09:21:33.668Z
840,2017-07-01T09:21:19.121Z
991,2017-07-01T09:21:13.908Z
44,2017-07-01T09:21:33.696Z
70,2017-07-01T09:21:33.695Z
420,2017-07-01T09:21:29.691Z
70,2017-07-01T09:21:33.709Z
420,2017-07-01T09:21:29.716Z
840,2017-07-01T09:21:24.732Z
420,2017-07-01T09:21:29.728Z
1698,2017-07-01T09:21:16.624Z
41,2017-07-01T09:21:33.818Z
417,2017-07-01T09:21:33.703Z
546,2017-07-01T09:21:33.669Z
202,2017-07-01T09:21:33.928Z
71,2017-07-01T09:21:33.931Z
6337,2017-07-01T09:21:33.079Z
1162,2017-07-01T09:21:03.172Z
3415,2017-07-01T09:21:33.927Z
763,2017-07-01T09:20:04.313Z
763,2017-07-01T09:20:04.313Z
2090,2017-07-01T09:20:04.438Z
26331,2017-07-01T09:20:04.876Z
910,2017-07-01T09:20:04.895Z
104,2017-07-01T09:21:33.981Z
300,2017-07-01T09:21:34.023Z
76,2017-07-01T09:21:34.048Z
3415,2017-07-01T09:21:34.020Z
937,2017-07-01T09:21:34.057Z
1545,2017-07-01T09:21:34.024Z
107,2017-07-01T09:21:34.164Z
107,2017-07-01T09:21:34.164Z
220,2017-07-01T09:21:34.170Z
145,2017-07-01T09:21:32.414Z
424,2017-07-01T09:21:34.131Z
80,2017-07-01T09:21:34.226Z
7537,2017-07-01T09:21:33.152Z
41,2017-07-01T09:21:34.322Z
5912,2017-07-01T09:21:15.692Z
65,2017-07-01T09:21:34.341Z
1527,2017-07-01T09:21:19.435Z
65,2017-07-01T09:21:34.395Z
58,2017-07-01T09:21:34.299Z
12410,2017-07-01T09:21:33.858Z
70,2017-07-01T09:21:34.458Z
1075,2017-07-01T09:21:34.478Z
1468,2017-07-01T09:21:23.574Z
71,2017-07-01T09:21:34.497Z
72,2017-07-01T09:21:34.511Z
6702,2017-07-01T09:21:33.080Z
48,2017-07-01T09:21:34.571Z
72,2017-07-01T09:21:34.588Z
72,2017-07-01T09:21:34.645Z
445,2017-07-01T09:21:24.390Z
41,2017-07-01T09:21:34.726Z
644,2017-07-01T09:21:24.961Z
1266,2017-07-01T09:21:14.410Z
2027,2017-07-01T09:21:34.839Z
70,2017-07-01T09:21:34.974Z
910,2017-07-01T09:20:05.036Z
9918,2017-07-01T09:20:05.218Z
19577,2017-07-01T09:20:05.353Z
17221,2017-07-01T09:20:05.360Z
5848,2017-07-01T09:20:05.522Z
10178,2017-07-01T09:20:05.726Z
